learner_id,proficiency_level,learning_goal,session_num,activity_type,content_difficulty,prev_score,real_time_score,engagement_level,adaptive_action,path_updated,reward_signal,next_proficiency
L0085,Advanced,Conversational,7,Listening,3.9,77.73,82.47,0.61,Test,True,0.23,2.1
L0096,Intermediate,JLPT N4,11,Grammar,1.0,62.61,66.53,0.34,Repeat,False,0.19,1.48
L0064,Advanced,JLPT N5,12,Grammar,5.04,63.58,58.26,0.98,Test,False,-0.26,1.56
L0034,Advanced,JLPT N5,15,Listening,7.93,66.61,67.29,0.71,Test,False,0.03,1.39
L0066,Advanced,JLPT N5,3,Kanji,5.83,82.49,79.55,0.96,Repeat,False,-0.15,1.79
L0081,Intermediate,Conversational,14,Kanji,3.8,84.21,87.12,0.61,Test,False,0.14,1.74
L0007,Advanced,JLPT N4,7,Grammar,7.26,75.6,71.73,0.43,Test,False,-0.19,1.49
L0050,Advanced,Writing,4,Listening,5.42,40.6,27.32,0.98,Revise,False,-0.58,1.31
L0011,Beginner,Reading,12,Kanji,6.48,72.57,71.41,0.57,Advance,True,-0.06,1.65
L0020,Advanced,JLPT N4,18,Kanji,9.68,86.06,87.03,0.49,Test,True,0.05,1.95
L0022,Beginner,Reading,15,Kanji,1.25,49.5,55.86,0.85,Advance,False,0.31,1.38
L0032,Advanced,Conversational,5,Vocabulary,5.42,78.96,69.99,0.56,Advance,True,-0.42,1.68
L0059,Advanced,JLPT N5,5,Listening,6.63,90.34,89.62,0.38,Test,True,-0.04,2.1
L0032,Beginner,Conversational,14,Vocabulary,5.94,81.04,73.24,0.33,Advance,False,-0.37,1.56
L0011,Beginner,JLPT N5,15,Listening,4.2,69.09,54.9,0.66,Advance,True,-0.61,1.76
L0016,Intermediate,JLPT N4,5,Listening,3.93,47.57,39.68,0.35,Test,True,-0.38,1.55
L0052,Beginner,Reading,19,Listening,6.0,87.37,89.94,0.43,Revise,True,0.13,1.96
L0085,Beginner,JLPT N4,11,Listening,3.45,64.6,71.84,0.49,Test,True,0.35,1.67
